Target Distance: 50, Step Size: 2
222: (x,y) = (-1.73205, -1)
223: (x,y) = (1.53209, 1.28558)
224: (x,y) = (-1, 1.73205)
225: (x,y) = (-0.312869, 1.97538)
226: (x,y) = (0.716736, -1.86716)
227: (x,y) = (-0.618034, -1.90211)
228: (x,y) = (-0.618034, 1.90211)
229: (x,y) = (1.93185, 0.517638)
230: (x,y) = (1.73205, 1)
231: (x,y) = (-1.96962, 0.347296)
232: (x,y) = (0.876742, 1.79759)
233: (x,y) = (-1.71433, 1.03008)
234: (x,y) = (1.87939, -0.68404)
235: (x,y) = (-1.20363, 1.59727)
236: (x,y) = (-1.84101, 0.781462)
237: (x,y) = (-0.483844, -1.94059)
238: (x,y) = (-0.0349048, 1.9997)
239: (x,y) = (-0.813473, 1.82709)
240: (x,y) = (-1.6383, 1.14715)
241: (x,y) = (1.9997, -0.0349048)
242: (x,y) = (-0.483844, 1.94059)
243: (x,y) = (-1.81262, -0.845237)
244: (x,y) = (-0.813473, -1.82709)
245: (x,y) = (-1.33826, -1.48629)
246: (x,y) = (-1.67734, -1.08928)
247: (x,y) = (1.364, -1.46271)
248: (x,y) = (1.22465e-016, 2)
249: (x,y) = (0.813473, 1.82709)
250: (x,y) = (0.449902, -1.94874)
251: (x,y) = (-1.03008, 1.71433)
252: (x,y) = (-1.59727, -1.20363)
253: (x,y) = (-1.67734, -1.08928)
254: (x,y) = (1.67734, 1.08928)
255: (x,y) = (0.551275, 1.92252)
256: (x,y) = (-1.89104, 0.651136)
257: (x,y) = (1.86716, 0.716736)
258: (x,y) = (-1.73205, 1)
259: (x,y) = (1.84101, -0.781462)
260: (x,y) = (-1.6961, -1.05984)
261: (x,y) = (-0.312869, 1.97538)
262: (x,y) = (0.483844, -1.94059)
263: (x,y) = (-1.97538, -0.312869)
264: (x,y) = (0.517638, 1.93185)
265: (x,y) = (-1.78201, -0.907981)
266: (x,y) = (-1.57602, 1.23132)
267: (x,y) = (-0.716736, 1.86716)
268: (x,y) = (1.53209, 1.28558)
269: (x,y) = (-0.716736, -1.86716)
270: (x,y) = (0.449902, -1.94874)
271: (x,y) = (-1.23132, 1.57602)
272: (x,y) = (-1.31212, -1.50942)
273: (x,y) = (-1.73205, 1)
274: (x,y) = (0.969619, -1.74924)
275: (x,y) = (1.05984, 1.6961)
276: (x,y) = (0.517638, 1.93185)
277: (x,y) = (-1.14715, 1.6383)
278: (x,y) = (-1.99726, 0.104672)
279: (x,y) = (-1.59727, -1.20363)
280: (x,y) = (-1.96962, -0.347296)
281: (x,y) = (-1.93185, -0.517638)
282: (x,y) = (-0.938943, -1.7659)
283: (x,y) = (1.74924, -0.969619)
284: (x,y) = (-1.96325, -0.381618)
285: (x,y) = (-1.53209, 1.28558)
286: (x,y) = (-0.907981, 1.78201)
287: (x,y) = (-1.97538, -0.312869)
288: (x,y) = (-1.85437, -0.749213)
289: (x,y) = (0.449902, -1.94874)
290: (x,y) = (1.25864, 1.55429)
291: (x,y) = (-1, -1.73205)
292: (x,y) = (-1.38932, -1.43868)
293: (x,y) = (-1.98054, -0.278346)
294: (x,y) = (0.651136, -1.89104)
295: (x,y) = (-1.81262, -0.845237)
296: (x,y) = (-0.969619, -1.74924)
297: (x,y) = (-0.749213, 1.85437)
298: (x,y) = (-1.6961, 1.05984)
299: (x,y) = (1.89104, -0.651136)
300: (x,y) = (-0.347296, -1.96962)
301: (x,y) = (1.98054, -0.278346)
302: (x,y) = (1.43868, -1.38932)
303: (x,y) = (1.99513, 0.139513)
304: (x,y) = (1.20363, 1.59727)
305: (x,y) = (1.05984, -1.6961)
306: (x,y) = (0.749213, -1.85437)
307: (x,y) = (-0.415823, 1.9563)
308: (x,y) = (-0.104672, -1.99726)
309: (x,y) = (1.33826, 1.48629)
310: (x,y) = (1.33826, -1.48629)
311: (x,y) = (-1.38932, -1.43868)
312: (x,y) = (0.069799, -1.99878)
313: (x,y) = (1.48629, -1.33826)
314: (x,y) = (0.347296, 1.96962)
315: (x,y) = (0.813473, -1.82709)
316: (x,y) = (0.68404, -1.87939)
317: (x,y) = (1.14715, 1.6383)
318: (x,y) = (-1.81262, -0.845237)
319: (x,y) = (1.89104, 0.651136)
320: (x,y) = (-2, 2.44929e-016)
321: (x,y) = (-0.551275, -1.92252)
322: (x,y) = (1.96962, 0.347296)
323: (x,y) = (-1.71433, -1.03008)
324: (x,y) = (1.74924, 0.969619)
325: (x,y) = (-1.9997, 0.0349048)
326: (x,y) = (1.03008, -1.71433)
327: (x,y) = (1.31212, 1.50942)
328: (x,y) = (-1.73205, -1)
329: (x,y) = (-1.41421, 1.41421)
330: (x,y) = (-1.14715, 1.6383)
331: (x,y) = (1.6961, -1.05984)
332: (x,y) = (1.97538, -0.312869)
333: (x,y) = (0.347296, 1.96962)
334: (x,y) = (-1.98509, 0.243739)
335: (x,y) = (0.68404, 1.87939)
336: (x,y) = (0.969619, -1.74924)
337: (x,y) = (-1.17557, 1.61803)
338: (x,y) = (-1.38932, -1.43868)
339: (x,y) = (-1.25864, 1.55429)
340: (x,y) = (-0.0349048, -1.9997)
341: (x,y) = (-0.651136, 1.89104)
342: (x,y) = (-1.17557, -1.61803)
343: (x,y) = (1.94874, -0.449902)
344: (x,y) = (-1.90211, 0.618034)
345: (x,y) = (-1.33826, 1.48629)
346: (x,y) = (-1.05984, -1.6961)
347: (x,y) = (1.85437, -0.749213)
348: (x,y) = (-1.89104, 0.651136)
349: (x,y) = (-1.50942, -1.31212)
350: (x,y) = (-1.79759, 0.876742)
351: (x,y) = (-0.618034, -1.90211)
352: (x,y) = (0.069799, 1.99878)
353: (x,y) = (0.845237, -1.81262)
354: (x,y) = (1.85437, -0.749213)
355: (x,y) = (1.364, -1.46271)
356: (x,y) = (0.104672, 1.99726)
357: (x,y) = (1.92252, 0.551275)
358: (x,y) = (1.91261, -0.584743)
359: (x,y) = (0.907981, -1.78201)
360: (x,y) = (1.94874, 0.449902)
361: (x,y) = (-0.68404, 1.87939)
362: (x,y) = (-1.65808, 1.11839)
363: (x,y) = (-1.43868, 1.38932)
364: (x,y) = (0.517638, 1.93185)
365: (x,y) = (0.347296, 1.96962)
366: (x,y) = (1.31212, -1.50942)
367: (x,y) = (1.05984, -1.6961)
368: (x,y) = (-1.05984, -1.6961)
369: (x,y) = (0.347296, -1.96962)
370: (x,y) = (-1.65808, -1.11839)
371: (x,y) = (-0.876742, 1.79759)
372: (x,y) = (-1.03008, 1.71433)
373: (x,y) = (-0.876742, 1.79759)
374: (x,y) = (1.93185, 0.517638)
375: (x,y) = (-0.618034, -1.90211)
376: (x,y) = (1.22465e-016, 2)
377: (x,y) = (1.25864, -1.55429)
378: (x,y) = (1.23132, 1.57602)
379: (x,y) = (-0.483844, -1.94059)
380: (x,y) = (1.96325, 0.381618)
381: (x,y) = (-0.483844, -1.94059)
382: (x,y) = (0.716736, -1.86716)
383: (x,y) = (-1.38932, 1.43868)
384: (x,y) = (0.209057, -1.98904)
385: (x,y) = (0.483844, -1.94059)
386: (x,y) = (-1.84101, -0.781462)
387: (x,y) = (1.25864, 1.55429)
388: (x,y) = (1.97538, -0.312869)
389: (x,y) = (-0.551275, 1.92252)
390: (x,y) = (-1.78201, -0.907981)
391: (x,y) = (0.969619, 1.74924)
392: (x,y) = (0.969619, 1.74924)
393: (x,y) = (-1.08928, 1.67734)
394: (x,y) = (-1.57602, -1.23132)
395: (x,y) = (1.89104, -0.651136)
396: (x,y) = (-0.449902, 1.94874)
397: (x,y) = (1.98509, 0.243739)
398: (x,y) = (-1.17557, -1.61803)
399: (x,y) = (1.25864, -1.55429)
400: (x,y) = (-0.278346, -1.98054)
401: (x,y) = (-0.938943, -1.7659)
402: (x,y) = (1.08928, -1.67734)
403: (x,y) = (-1.94059, 0.483844)
404: (x,y) = (1.14715, 1.6383)
405: (x,y) = (1.9563, -0.415823)
406: (x,y) = (-1.28558, -1.53209)
407: (x,y) = (0.813473, -1.82709)
408: (x,y) = (1.17557, -1.61803)
409: (x,y) = (1.98509, -0.243739)
410: (x,y) = (-1.41421, -1.41421)
411: (x,y) = (1.92252, -0.551275)
412: (x,y) = (0.68404, -1.87939)
413: (x,y) = (-1.65808, -1.11839)
414: (x,y) = (1.91261, 0.584743)
415: (x,y) = (1.99239, -0.174311)
416: (x,y) = (0.551275, 1.92252)
417: (x,y) = (1.99726, -0.104672)
418: (x,y) = (-1.94874, 0.449902)
419: (x,y) = (-1.9563, 0.415823)
420: (x,y) = (0.243739, -1.98509)
421: (x,y) = (-1.55429, -1.25864)
422: (x,y) = (-1.94874, 0.449902)
423: (x,y) = (-1.48629, -1.33826)
424: (x,y) = (-0.174311, 1.99239)
425: (x,y) = (-1.7659, 0.938943)
426: (x,y) = (1.48629, -1.33826)
427: (x,y) = (-0.209057, -1.98904)
428: (x,y) = (-0.139513, -1.99513)
429: (x,y) = (1.28558, -1.53209)
430: (x,y) = (0.781462, -1.84101)
431: (x,y) = (1.79759, 0.876742)
432: (x,y) = (1, 1.73205)
433: (x,y) = (-0.381618, 1.96325)
434: (x,y) = (-0.938943, 1.7659)
435: (x,y) = (-1, -1.73205)
436: (x,y) = (-1.99726, -0.104672)
437: (x,y) = (1.364, 1.46271)
438: (x,y) = (-1.41421, 1.41421)
439: (x,y) = (-0.749213, 1.85437)
440: (x,y) = (1.82709, 0.813473)
441: (x,y) = (1.98054, 0.278346)
442: (x,y) = (1.6383, -1.14715)
443: (x,y) = (1.92252, -0.551275)
444: (x,y) = (-1.97538, -0.312869)
445: (x,y) = (-1.43868, -1.38932)
446: (x,y) = (0.174311, -1.99239)
447: (x,y) = (-1.31212, 1.50942)
448: (x,y) = (0.104672, -1.99726)
449: (x,y) = (-1.82709, -0.813473)
450: (x,y) = (1.89104, 0.651136)
451: (x,y) = (-1.7659, 0.938943)
452: (x,y) = (-0.716736, -1.86716)
453: (x,y) = (-1.99726, 0.104672)
454: (x,y) = (-0.876742, -1.79759)
455: (x,y) = (-0.907981, -1.78201)
456: (x,y) = (-1.11839, -1.65808)
457: (x,y) = (-0.0349048, 1.9997)
458: (x,y) = (1.78201, -0.907981)
459: (x,y) = (-0.243739, 1.98509)
460: (x,y) = (-1.28558, -1.53209)
461: (x,y) = (-0.381618, 1.96325)
462: (x,y) = (-1.20363, -1.59727)
463: (x,y) = (-1.17557, 1.61803)
464: (x,y) = (0.139513, 1.99513)
465: (x,y) = (-1.59727, -1.20363)
466: (x,y) = (1.59727, -1.20363)
467: (x,y) = (0.584743, 1.91261)
468: (x,y) = (0.312869, 1.97538)
469: (x,y) = (1.99726, 0.104672)
470: (x,y) = (-1.9997, 0.0349048)
471: (x,y) = (1.48629, 1.33826)
472: (x,y) = (1.05984, -1.6961)
473: (x,y) = (1.97538, 0.312869)
474: (x,y) = (-0.938943, -1.7659)
475: (x,y) = (-1.85437, -0.749213)
476: (x,y) = (-1.6961, -1.05984)
477: (x,y) = (-1.57602, 1.23132)
478: (x,y) = (1.85437, -0.749213)
479: (x,y) = (-0.618034, 1.90211)
480: (x,y) = (0.069799, -1.99878)
481: (x,y) = (-1.20363, 1.59727)
482: (x,y) = (-1.85437, -0.749213)
483: (x,y) = (1.89104, 0.651136)
484: (x,y) = (-1.53209, 1.28558)
485: (x,y) = (-0.0349048, -1.9997)
486: (x,y) = (-0.969619, -1.74924)
487: (x,y) = (0.243739, -1.98509)
488: (x,y) = (1, -1.73205)
489: (x,y) = (0.716736, 1.86716)
490: (x,y) = (-1, 1.73205)
491: (x,y) = (-1.90211, -0.618034)
492: (x,y) = (-0.938943, -1.7659)
493: (x,y) = (1.7659, -0.938943)
494: (x,y) = (0.517638, -1.93185)
495: (x,y) = (-1.99239, 0.174311)
496: (x,y) = (-0.651136, 1.89104)
497: (x,y) = (-0.68404, 1.87939)
498: (x,y) = (0.716736, 1.86716)
499: (x,y) = (1.14715, -1.6383)
500: (x,y) = (0.517638, -1.93185)
501: (x,y) = (1.93185, -0.517638)
502: (x,y) = (-1.38932, -1.43868)
503: (x,y) = (1.20363, 1.59727)
504: (x,y) = (1.46271, 1.364)
505: (x,y) = (-0.0349048, -1.9997)
506: (x,y) = (-1.55429, 1.25864)
507: (x,y) = (1.99726, -0.104672)
508: (x,y) = (1.97538, -0.312869)
509: (x,y) = (-0.483844, -1.94059)
510: (x,y) = (1.48629, -1.33826)
511: (x,y) = (-1.43868, -1.38932)
512: (x,y) = (-1.74924, -0.969619)
513: (x,y) = (1.50942, -1.31212)
514: (x,y) = (1.79759, 0.876742)
515: (x,y) = (0.938943, -1.7659)
516: (x,y) = (1.23132, 1.57602)
517: (x,y) = (-1.20363, 1.59727)
518: (x,y) = (-0.069799, 1.99878)
519: (x,y) = (-0.551275, 1.92252)
520: (x,y) = (-0.969619, 1.74924)
521: (x,y) = (-1.14715, 1.6383)
522: (x,y) = (-1.99726, -0.104672)
523: (x,y) = (1.50942, 1.31212)
524: (x,y) = (1.57602, 1.23132)
525: (x,y) = (-0.139513, -1.99513)
526: (x,y) = (-0.278346, 1.98054)
527: (x,y) = (0.069799, 1.99878)
528: (x,y) = (0.907981, -1.78201)
529: (x,y) = (0.749213, -1.85437)
530: (x,y) = (-0.584743, -1.91261)
531: (x,y) = (0.876742, -1.79759)
532: (x,y) = (0.209057, 1.98904)
533: (x,y) = (-1.74924, -0.969619)
534: (x,y) = (-0.104672, -1.99726)
535: (x,y) = (-0.716736, 1.86716)
536: (x,y) = (1.93185, 0.517638)
537: (x,y) = (-1.31212, -1.50942)
538: (x,y) = (-1.78201, 0.907981)
539: (x,y) = (1.99878, 0.069799)
540: (x,y) = (0.139513, 1.99513)
541: (x,y) = (-1.50942, -1.31212)
542: (x,y) = (-0.415823, 1.9563)
543: (x,y) = (1.85437, 0.749213)
544: (x,y) = (-0.381618, -1.96325)
545: (x,y) = (-1.92252, 0.551275)
546: (x,y) = (-1.98509, -0.243739)
547: (x,y) = (-0.347296, -1.96962)
548: (x,y) = (0.139513, -1.99513)
549: (x,y) = (-1.96325, -0.381618)
550: (x,y) = (-1.9997, -0.0349048)
551: (x,y) = (-1.50942, -1.31212)
552: (x,y) = (0.278346, -1.98054)
553: (x,y) = (-1.81262, -0.845237)
554: (x,y) = (-0.174311, -1.99239)
555: (x,y) = (1.71433, -1.03008)
556: (x,y) = (1.17557, -1.61803)
After 557 steps, the subject has the following location:
(x,y) = (-19.9137, -46.1609)
 or
(m,a) = (50.2731, -113.335)
Average outward distance per step = 0.0902569
